GO Annotation,Taxon,Count of Proteins with Annotation,Proportion of Proteins with Annotation
incipient cellular bud site,gaura-JMJV,1,3.208624783417827e-05
integral component of endosome membrane,gaura-JMJV,1,3.208624783417827e-05
integral component of fungal-type vacuolar membrane,gaura-JMJV,1,3.208624783417827e-05
integral component of mitochondrial membrane,gaura-JMJV,1,3.208624783417827e-05
integral component of omegasome membrane,gaura-JMJV,1,3.208624783417827e-05
intermediate filament,gaura-JMJV,1,3.208624783417827e-05
intracellular organelle lumen,gaura-JMJV,1,3.208624783417827e-05
intrinsic component of membrane,gaura-JMJV,1,3.208624783417827e-05
kinetoplast,gaura-JMJV,1,3.208624783417827e-05
lamellipodium,gaura-JMJV,1,3.208624783417827e-05
leading edge of lamellipodium,gaura-JMJV,1,3.208624783417827e-05
macropinocytic cup,gaura-JMJV,1,3.208624783417827e-05
magnesium chelatase complex,gaura-JMJV,1,3.208624783417827e-05
mating projection tip,gaura-JMJV,1,3.208624783417827e-05
meiotic spindle,gaura-JMJV,1,3.208624783417827e-05
melanosome,gaura-JMJV,1,3.208624783417827e-05
methionine adenosyltransferase complex,gaura-JMJV,1,3.208624783417827e-05
methylcrotonoyl-CoA carboxylase complex,gaura-JMJV,1,3.208624783417827e-05
methyltransferase complex,gaura-JMJV,1,3.208624783417827e-05
microsporocyte nucleus,gaura-JMJV,1,3.208624783417827e-05
mitochondria-associated endoplasmic reticulum membrane,gaura-JMJV,1,3.208624783417827e-05
"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",gaura-JMJV,1,3.208624783417827e-05
mitochondrial respirasome,gaura-JMJV,1,3.208624783417827e-05
mitochondrial respiratory chain complex IV,gaura-JMJV,1,3.208624783417827e-05
multimeric ribonuclease P complex,gaura-JMJV,1,3.208624783417827e-05
myosin I complex,gaura-JMJV,1,3.208624783417827e-05
neuronal dense core vesicle,gaura-JMJV,1,3.208624783417827e-05
neuronal ribonucleoprotein granule,gaura-JMJV,1,3.208624783417827e-05
nuclear MIS12/MIND complex,gaura-JMJV,1,3.208624783417827e-05
nuclear inclusion body,gaura-JMJV,1,3.208624783417827e-05
nuclear lumen,gaura-JMJV,1,3.208624783417827e-05
nucleolus organizer region,gaura-JMJV,1,3.208624783417827e-05
nucleotide-activated protein kinase complex,gaura-JMJV,1,3.208624783417827e-05
nucleotide-excision repair factor 2 complex,gaura-JMJV,1,3.208624783417827e-05
nucleotide-excision repair factor 3 complex,gaura-JMJV,1,3.208624783417827e-05
nucleotide-excision repair factor 4 complex,gaura-JMJV,1,3.208624783417827e-05
organelle inner membrane,gaura-JMJV,1,3.208624783417827e-05
outer dense fiber,gaura-JMJV,1,3.208624783417827e-05
paraspeckles,gaura-JMJV,1,3.208624783417827e-05
perichromatin fibrils,gaura-JMJV,1,3.208624783417827e-05
perinuclear endoplasmic reticulum,gaura-JMJV,1,3.208624783417827e-05
perinucleolar chromocenter,gaura-JMJV,1,3.208624783417827e-05
phagocytic cup lip,gaura-JMJV,1,3.208624783417827e-05
phagophore,gaura-JMJV,1,3.208624783417827e-05
photoreceptor connecting cilium,gaura-JMJV,1,3.208624783417827e-05
photoreceptor outer segment,gaura-JMJV,1,3.208624783417827e-05
photosystem I antenna complex,gaura-JMJV,1,3.208624783417827e-05
plasmodesmatal endoplasmic reticulum,gaura-JMJV,1,3.208624783417827e-05
plastid small ribosomal subunit,gaura-JMJV,1,3.208624783417827e-05
potassium ion-transporting ATPase complex,gaura-JMJV,1,3.208624783417827e-05
presynapse,gaura-JMJV,1,3.208624783417827e-05
pronucleus,gaura-JMJV,1,3.208624783417827e-05
proplastid,gaura-JMJV,1,3.208624783417827e-05
proteasome accessory complex,gaura-JMJV,1,3.208624783417827e-05
proteasome-activating nucleotidase complex,gaura-JMJV,1,3.208624783417827e-05
protein-DNA complex,gaura-JMJV,1,3.208624783417827e-05
proximal dendrite,gaura-JMJV,1,3.208624783417827e-05
pseudopodium,gaura-JMJV,1,3.208624783417827e-05
"retromer, cargo-selective complex",gaura-JMJV,1,3.208624783417827e-05
ribonuclease MRP complex,gaura-JMJV,1,3.208624783417827e-05
ribonuclease P complex,gaura-JMJV,1,3.208624783417827e-05
ribose phosphate diphosphokinase complex,gaura-JMJV,1,3.208624783417827e-05
rough endoplasmic reticulum,gaura-JMJV,1,3.208624783417827e-05
rough endoplasmic reticulum membrane,gaura-JMJV,1,3.208624783417827e-05
ruffle,gaura-JMJV,1,3.208624783417827e-05
sarcoplasmic reticulum lumen,gaura-JMJV,1,3.208624783417827e-05
sarcoplasmic reticulum membrane,gaura-JMJV,1,3.208624783417827e-05
secondary plasmodesma,gaura-JMJV,1,3.208624783417827e-05
secretory granule,gaura-JMJV,1,3.208624783417827e-05
sieve plate,gaura-JMJV,1,3.208624783417827e-05
signal recognition particle,gaura-JMJV,1,3.208624783417827e-05
signal recognition particle receptor complex,gaura-JMJV,1,3.208624783417827e-05
specific granule,gaura-JMJV,1,3.208624783417827e-05
specific granule lumen,gaura-JMJV,1,3.208624783417827e-05
sperm head,gaura-JMJV,1,3.208624783417827e-05
succinate-CoA ligase complex,gaura-JMJV,1,3.208624783417827e-05
super elongation complex,gaura-JMJV,1,3.208624783417827e-05
synaptic vesicle membrane,gaura-JMJV,1,3.208624783417827e-05
terminal bouton,gaura-JMJV,1,3.208624783417827e-05
transcription factor TFIIF complex,gaura-JMJV,1,3.208624783417827e-05
vesicle membrane,gaura-JMJV,1,3.208624783417827e-05
nucleus,gaura-IIFB,6019,0.1984830997526793
integral component of membrane,gaura-IIFB,4946,0.1630997526793075
plasma membrane,gaura-IIFB,4095,0.13503709810387468
cytosol,gaura-IIFB,3813,0.12573784006595218
cytoplasm,gaura-IIFB,3636,0.11990107172300082
chloroplast,gaura-IIFB,2393,0.07891178895300907
mitochondrion,gaura-IIFB,1784,0.05882934872217642
Golgi apparatus,gaura-IIFB,1158,0.03818631492168178
plasmodesma,gaura-IIFB,1100,0.036273701566364384
endoplasmic reticulum,gaura-IIFB,961,0.03169002473206925
plastid,gaura-IIFB,825,0.02720527617477329
membrane,gaura-IIFB,803,0.026479802143446002
chloroplast stroma,gaura-IIFB,760,0.025061830173124484
extracellular region,gaura-IIFB,757,0.02496290189612531
vacuole,gaura-IIFB,731,0.024105523495465787
endoplasmic reticulum membrane,gaura-IIFB,711,0.023446001648804615
nucleolus,gaura-IIFB,693,0.022852431986809564
vacuolar membrane,gaura-IIFB,659,0.02173124484748557
Golgi membrane,gaura-IIFB,645,0.021269579554822754
chloroplast envelope,gaura-IIFB,572,0.01886232481450948
chloroplast thylakoid membrane,gaura-IIFB,565,0.01863149216817807
cell wall,gaura-IIFB,541,0.017840065952184667
obsolete cell,gaura-IIFB,535,0.017642209398186316
intracellular membrane-bounded organelle,gaura-IIFB,511,0.01685078318219291
nucleoplasm,gaura-IIFB,484,0.01596042868920033
trans-Golgi network,gaura-IIFB,426,0.014047815333882935
endosome,gaura-IIFB,420,0.013849958779884583
microtubule,gaura-IIFB,365,0.012036273701566364
apoplast,gaura-IIFB,359,0.011838417147568014
peroxisome,gaura-IIFB,327,0.01078318219291014
chloroplast membrane,gaura-IIFB,246,0.008112118713932399
nuclear speck,gaura-IIFB,243,0.008013190436933224
plant-type vacuole membrane,gaura-IIFB,206,0.006793075020610058
chloroplast thylakoid,gaura-IIFB,205,0.0067600989282769995
ribosome,gaura-IIFB,202,0.0066611706512778234
thylakoid,gaura-IIFB,202,0.0066611706512778234
endosome membrane,gaura-IIFB,197,0.006496290189612531
spliceosomal complex,gaura-IIFB,197,0.006496290189612531
plant-type cell wall,gaura-IIFB,196,0.006463314097279472
integral component of plasma membrane,gaura-IIFB,194,0.006397361912613355
host cell nucleus,gaura-IIFB,184,0.00606760098928277
phragmoplast,gaura-IIFB,180,0.005935696619950536
endomembrane system,gaura-IIFB,179,0.005902720527617478
cytosolic ribosome,gaura-IIFB,177,0.00583676834295136
mitochondrial inner membrane,gaura-IIFB,174,0.005737840065952185
cytoskeleton,gaura-IIFB,167,0.005507007419620775
anchored component of plasma membrane,gaura-IIFB,160,0.0052761747732893655
nuclear envelope,gaura-IIFB,153,0.005045342126957956
anchored component of membrane,gaura-IIFB,141,0.004649629018961253
kinesin complex,gaura-IIFB,140,0.004616652926628195
cytosolic large ribosomal subunit,gaura-IIFB,134,0.004418796372629844
secretory vesicle,gaura-IIFB,132,0.004352844187963726
chloroplast inner membrane,gaura-IIFB,131,0.004319868095630668
mitochondrial matrix,gaura-IIFB,130,0.004286892003297609
spindle,gaura-IIFB,130,0.004286892003297609
ribonucleoprotein complex,gaura-IIFB,125,0.004122011541632316
P-body,gaura-IIFB,119,0.003924154987633965
cytosolic small ribosomal subunit,gaura-IIFB,113,0.0037262984336356142
Golgi trans cisterna,gaura-IIFB,111,0.003660346248969497
extracellular space,gaura-IIFB,110,0.0036273701566364386
nuclear membrane,gaura-IIFB,110,0.0036273701566364386
chromatin,gaura-IIFB,105,0.0034624896949711458
nuclear chromatin,gaura-IIFB,95,0.0031327287716405605
integral component of endoplasmic reticulum membrane,gaura-IIFB,94,0.003099752679307502
perinuclear region of cytoplasm,gaura-IIFB,94,0.003099752679307502
late endosome membrane,gaura-IIFB,93,0.0030667765869744437
plastoglobule,gaura-IIFB,93,0.0030667765869744437
extrinsic component of membrane,gaura-IIFB,91,0.0030008244023083264
Cul4-RING E3 ubiquitin ligase complex,gaura-IIFB,89,0.002934872217642209
late endosome,gaura-IIFB,86,0.002835943940643034
Golgi medial cisterna,gaura-IIFB,84,0.0027699917559769168
chloroplast thylakoid lumen,gaura-IIFB,84,0.0027699917559769168
early endosome,gaura-IIFB,84,0.0027699917559769168
mediator complex,gaura-IIFB,84,0.0027699917559769168
plant-type vacuole,gaura-IIFB,84,0.0027699917559769168
small-subunit processome,gaura-IIFB,84,0.0027699917559769168
chloroplast outer membrane,gaura-IIFB,83,0.0027370156636438584
SCF ubiquitin ligase complex,gaura-IIFB,81,0.002671063478977741
cytoplasmic vesicle,gaura-IIFB,81,0.002671063478977741
polysomal ribosome,gaura-IIFB,81,0.002671063478977741
chloroplast nucleoid,gaura-IIFB,75,0.00247320692497939
peroxisomal membrane,gaura-IIFB,75,0.00247320692497939
nuclear pore,gaura-IIFB,73,0.002407254740313273
catalytic step 2 spliceosome,gaura-IIFB,72,0.0023742786479802143
lysosome,gaura-IIFB,72,0.0023742786479802143
mitochondrial outer membrane,gaura-IIFB,67,0.002209398186314922
chromosome,gaura-IIFB,66,0.002176422093981863
extracellular exosome,gaura-IIFB,66,0.002176422093981863
proteasome complex,gaura-IIFB,66,0.002176422093981863
protein-containing complex,gaura-IIFB,66,0.002176422093981863
thylakoid lumen,gaura-IIFB,65,0.0021434460016488046
nucleosome,gaura-IIFB,64,0.002110469909315746
mitochondrial membrane,gaura-IIFB,61,0.0020115416323165706
"chromosome, centromeric region",gaura-IIFB,60,0.001978565539983512
photosystem II,gaura-IIFB,58,0.001912613355317395
transcription factor TFIID complex,gaura-IIFB,56,0.001846661170651278
COPI vesicle coat,gaura-IIFB,55,0.0018136850783182193
lysosomal membrane,gaura-IIFB,52,0.0017147568013190437
nuclear body,gaura-IIFB,52,0.0017147568013190437
actin cytoskeleton,gaura-IIFB,51,0.001681780708985985
vesicle,gaura-IIFB,50,0.0016488046166529267
endoplasmic reticulum lumen,gaura-IIFB,49,0.001615828524319868
photosystem I,gaura-IIFB,49,0.001615828524319868
ubiquitin ligase complex,gaura-IIFB,48,0.0015828524319868096
cyclin-dependent protein kinase holoenzyme complex,gaura-IIFB,46,0.0015169002473206924
cell cortex,gaura-IIFB,45,0.001483924154987634
pollen tube,gaura-IIFB,45,0.001483924154987634
small ribosomal subunit,gaura-IIFB,45,0.001483924154987634
cell plate,gaura-IIFB,44,0.0014509480626545754
exocyst,gaura-IIFB,44,0.0014509480626545754
RNA polymerase III complex,gaura-IIFB,43,0.001417971970321517
spindle pole,gaura-IIFB,41,0.0013520197856553998
Golgi cisterna membrane,gaura-IIFB,40,0.0013190436933223414
amyloplast,gaura-IIFB,40,0.0013190436933223414
early endosome membrane,gaura-IIFB,40,0.0013190436933223414
integral component of Golgi membrane,gaura-IIFB,40,0.0013190436933223414
"preribosome, large subunit precursor",gaura-IIFB,39,0.0012860676009892828
clathrin-coated vesicle,gaura-IIFB,38,0.0012530915086562241
cytoplasmic vesicle membrane,gaura-IIFB,37,0.0012201154163231657
mitochondrial respiratory chain complex I,gaura-IIFB,37,0.0012201154163231657
photosystem II oxygen evolving complex,gaura-IIFB,37,0.0012201154163231657
stromule,gaura-IIFB,37,0.0012201154163231657
RNA polymerase V complex,gaura-IIFB,36,0.0011871393239901071
U1 snRNP,gaura-IIFB,36,0.0011871393239901071
lipid droplet,gaura-IIFB,36,0.0011871393239901071
multivesicular body,gaura-IIFB,36,0.0011871393239901071
precatalytic spliceosome,gaura-IIFB,36,0.0011871393239901071
"1,3-beta-D-glucan synthase complex",gaura-IIFB,35,0.0011541632316570487
Golgi cis cisterna,gaura-IIFB,35,0.0011541632316570487
SNARE complex,gaura-IIFB,35,0.0011541632316570487
U4/U6 x U5 tri-snRNP complex,gaura-IIFB,35,0.0011541632316570487
protein phosphatase type 2A complex,gaura-IIFB,35,0.0011541632316570487
thylakoid membrane,gaura-IIFB,35,0.0011541632316570487
glyoxysome,gaura-IIFB,34,0.0011211871393239901
cytoplasmic side of plasma membrane,gaura-IIFB,33,0.0010882110469909315
cytoplasmic stress granule,gaura-IIFB,33,0.0010882110469909315
endoplasmic reticulum-Golgi intermediate compartment,gaura-IIFB,33,0.0010882110469909315
transcription regulator complex,gaura-IIFB,33,0.0010882110469909315
U2-type prespliceosome,gaura-IIFB,32,0.001055234954657873
histone methyltransferase complex,gaura-IIFB,32,0.001055234954657873
U2-type catalytic step 2 spliceosome,gaura-IIFB,31,0.0010222588623248145
nuclear chromosome,gaura-IIFB,31,0.0010222588623248145
large ribosomal subunit,gaura-IIFB,30,0.000989282769991756
nuclear exosome (RNase complex),gaura-IIFB,30,0.000989282769991756
eukaryotic 48S preinitiation complex,gaura-IIFB,29,0.0009563066776586975
kinetochore,gaura-IIFB,29,0.0009563066776586975
mismatch repair complex,gaura-IIFB,29,0.0009563066776586975
"nuclear chromosome, telomeric region",gaura-IIFB,28,0.000923330585325639
CCR4-NOT complex,gaura-IIFB,27,0.0008903544929925803
CCR4-NOT core complex,gaura-IIFB,27,0.0008903544929925803
Cajal body,gaura-IIFB,27,0.0008903544929925803
DNA replication factor C complex,gaura-IIFB,27,0.0008903544929925803
THO complex,gaura-IIFB,27,0.0008903544929925803
U2 snRNP,gaura-IIFB,27,0.0008903544929925803
myosin complex,gaura-IIFB,27,0.0008903544929925803
polysome,gaura-IIFB,27,0.0008903544929925803
COPII vesicle coat,gaura-IIFB,26,0.0008573784006595218
cis-Golgi network,gaura-IIFB,26,0.0008573784006595218
Golgi stack,gaura-IIFB,25,0.0008244023083264633
cell division site,gaura-IIFB,25,0.0008244023083264633
condensed chromosome kinetochore,gaura-IIFB,25,0.0008244023083264633
cortical microtubule,gaura-IIFB,25,0.0008244023083264633
cytoplasmic exosome (RNase complex),gaura-IIFB,25,0.0008244023083264633
eukaryotic 43S preinitiation complex,gaura-IIFB,25,0.0008244023083264633
exosome (RNase complex),gaura-IIFB,25,0.0008244023083264633
histone deacetylase complex,gaura-IIFB,25,0.0008244023083264633
integral component of mitochondrial inner membrane,gaura-IIFB,25,0.0008244023083264633
plastid chromosome,gaura-IIFB,25,0.0008244023083264633
"proteasome regulatory particle, base subcomplex",gaura-IIFB,25,0.0008244023083264633
"RNA polymerase II, core complex",gaura-IIFB,24,0.0007914262159934048
SAGA complex,gaura-IIFB,24,0.0007914262159934048
autophagosome,gaura-IIFB,24,0.0007914262159934048
nuclear matrix,gaura-IIFB,24,0.0007914262159934048
pore complex,gaura-IIFB,24,0.0007914262159934048
preprophase band,gaura-IIFB,24,0.0007914262159934048
respirasome,gaura-IIFB,24,0.0007914262159934048
Pwp2p-containing subcomplex of 90S preribosome,gaura-IIFB,23,0.0007584501236603462
RNA polymerase IV complex,gaura-IIFB,23,0.0007584501236603462
U2-type precatalytic spliceosome,gaura-IIFB,23,0.0007584501236603462
endoplasmic reticulum exit site,gaura-IIFB,23,0.0007584501236603462
eukaryotic translation initiation factor 3 complex,gaura-IIFB,23,0.0007584501236603462
microtubule associated complex,gaura-IIFB,23,0.0007584501236603462
mitochondrial intermembrane space,gaura-IIFB,23,0.0007584501236603462
mitotic spindle,gaura-IIFB,23,0.0007584501236603462
nuclear periphery,gaura-IIFB,23,0.0007584501236603462
spindle microtubule,gaura-IIFB,23,0.0007584501236603462
90S preribosome,gaura-IIFB,22,0.0007254740313272877
Cul4A-RING E3 ubiquitin ligase complex,gaura-IIFB,22,0.0007254740313272877
condensed nuclear chromosome,gaura-IIFB,22,0.0007254740313272877
histone acetyltransferase complex,gaura-IIFB,22,0.0007254740313272877
plastid-encoded plastid RNA polymerase complex,gaura-IIFB,22,0.0007254740313272877
NuA4 histone acetyltransferase complex,gaura-IIFB,21,0.0006924979389942292
centrosome,gaura-IIFB,21,0.0006924979389942292
mitochondrial large ribosomal subunit,gaura-IIFB,21,0.0006924979389942292
phagophore assembly site,gaura-IIFB,21,0.0006924979389942292
plastid stroma,gaura-IIFB,21,0.0006924979389942292
site of double-strand break,gaura-IIFB,21,0.0006924979389942292
Golgi transport complex,gaura-IIFB,20,0.0006595218466611707
RNA polymerase I complex,gaura-IIFB,20,0.0006595218466611707
U12-type spliceosomal complex,gaura-IIFB,20,0.0006595218466611707
"chromosome, telomeric region",gaura-IIFB,20,0.0006595218466611707
clathrin-coated pit,gaura-IIFB,20,0.0006595218466611707
phagophore assembly site membrane,gaura-IIFB,20,0.0006595218466611707
proteasome core complex,gaura-IIFB,20,0.0006595218466611707
transport vesicle,gaura-IIFB,20,0.0006595218466611707
CORVET complex,gaura-IIFB,19,0.0006265457543281121
NAD(P)H dehydrogenase complex (plastoquinone),gaura-IIFB,19,0.0006265457543281121
Prp19 complex,gaura-IIFB,19,0.0006265457543281121
Scc2-Scc4 cohesin loading complex,gaura-IIFB,19,0.0006265457543281121
anaphase-promoting complex,gaura-IIFB,19,0.0006265457543281121
cell periphery,gaura-IIFB,19,0.0006265457543281121
integral component of chloroplast outer membrane,gaura-IIFB,19,0.0006265457543281121
COPII-coated ER to Golgi transport vesicle,gaura-IIFB,18,0.0005935696619950536
THO complex part of transcription export complex,gaura-IIFB,18,0.0005935696619950536
U5 snRNP,gaura-IIFB,18,0.0005935696619950536
autophagosome membrane,gaura-IIFB,18,0.0005935696619950536
axoneme,gaura-IIFB,18,0.0005935696619950536
cell projection,gaura-IIFB,18,0.0005935696619950536
endopeptidase Clp complex,gaura-IIFB,18,0.0005935696619950536
phagocytic vesicle,gaura-IIFB,18,0.0005935696619950536
COP9 signalosome,gaura-IIFB,17,0.0005605935696619951
ER membrane protein complex,gaura-IIFB,17,0.0005605935696619951
post-mRNA release spliceosomal complex,gaura-IIFB,17,0.0005605935696619951
"signal recognition particle, endoplasmic reticulum targeting",gaura-IIFB,17,0.0005605935696619951
ESCRT III complex,gaura-IIFB,16,0.0005276174773289365
HOPS complex,gaura-IIFB,16,0.0005276174773289365
Ino80 complex,gaura-IIFB,16,0.0005276174773289365
SWI/SNF complex,gaura-IIFB,16,0.0005276174773289365
Swr1 complex,gaura-IIFB,16,0.0005276174773289365
cell surface,gaura-IIFB,16,0.0005276174773289365
cellulose synthase complex,gaura-IIFB,16,0.0005276174773289365
chromatin silencing complex,gaura-IIFB,16,0.0005276174773289365
gamma-tubulin complex,gaura-IIFB,16,0.0005276174773289365
microtubule cytoskeleton,gaura-IIFB,16,0.0005276174773289365
microtubule organizing center,gaura-IIFB,16,0.0005276174773289365
mitochondrial small ribosomal subunit,gaura-IIFB,16,0.0005276174773289365
nuclear pore outer ring,gaura-IIFB,16,0.0005276174773289365
plastid envelope,gaura-IIFB,16,0.0005276174773289365
recycling endosome,gaura-IIFB,16,0.0005276174773289365
transcription factor TFIIH holo complex,gaura-IIFB,16,0.0005276174773289365
Elongator holoenzyme complex,gaura-IIFB,15,0.000494641384995878
HAUS complex,gaura-IIFB,15,0.000494641384995878
MutSalpha complex,gaura-IIFB,15,0.000494641384995878
P granule,gaura-IIFB,15,0.000494641384995878
chloride channel complex,gaura-IIFB,15,0.000494641384995878
chloroplast intermembrane space,gaura-IIFB,15,0.000494641384995878
chromocenter,gaura-IIFB,15,0.000494641384995878
condensed chromosome,gaura-IIFB,15,0.000494641384995878
dynein complex,gaura-IIFB,15,0.000494641384995878
integral component of cytoplasmic side of endoplasmic reticulum membrane,gaura-IIFB,15,0.000494641384995878
midbody,gaura-IIFB,15,0.000494641384995878
mitochondrial nucleoid,gaura-IIFB,15,0.000494641384995878
periplasmic space,gaura-IIFB,15,0.000494641384995878
phenylalanine-tRNA ligase complex,gaura-IIFB,15,0.000494641384995878
plastid nucleoid,gaura-IIFB,15,0.000494641384995878
recycling endosome membrane,gaura-IIFB,15,0.000494641384995878
retromer complex,gaura-IIFB,15,0.000494641384995878
ER to Golgi transport vesicle membrane,gaura-IIFB,14,0.0004616652926628195
axon,gaura-IIFB,14,0.0004616652926628195
clathrin adaptor complex,gaura-IIFB,14,0.0004616652926628195
commitment complex,gaura-IIFB,14,0.0004616652926628195
integral component of mitochondrial outer membrane,gaura-IIFB,14,0.0004616652926628195
nuclear heterochromatin,gaura-IIFB,14,0.0004616652926628195
organelle membrane,gaura-IIFB,14,0.0004616652926628195
"proteasome core complex, alpha-subunit complex",gaura-IIFB,14,0.0004616652926628195
protein storage vacuole,gaura-IIFB,14,0.0004616652926628195
respiratory chain complex I,gaura-IIFB,14,0.0004616652926628195
Atg1/ULK1 kinase complex,gaura-IIFB,13,0.0004286892003297609
DSIF complex,gaura-IIFB,13,0.0004286892003297609
MCM complex,gaura-IIFB,13,0.0004286892003297609
PML body,gaura-IIFB,13,0.0004286892003297609
SCAR complex,gaura-IIFB,13,0.0004286892003297609
TIM23 mitochondrial import inner membrane translocase complex,gaura-IIFB,13,0.0004286892003297609
U2-type spliceosomal complex,gaura-IIFB,13,0.0004286892003297609
VCP-NPL4-UFD1 AAA ATPase complex,gaura-IIFB,13,0.0004286892003297609
chaperonin-containing T-complex,gaura-IIFB,13,0.0004286892003297609
chloroplastic endopeptidase Clp complex,gaura-IIFB,13,0.0004286892003297609
clathrin coat of coated pit,gaura-IIFB,13,0.0004286892003297609
clathrin coat of trans-Golgi network vesicle,gaura-IIFB,13,0.0004286892003297609
clathrin-coated vesicle membrane,gaura-IIFB,13,0.0004286892003297609
equatorial microtubule organizing center,gaura-IIFB,13,0.0004286892003297609
eukaryotic translation initiation factor 2B complex,gaura-IIFB,13,0.0004286892003297609
fibrillar center,gaura-IIFB,13,0.0004286892003297609
mRNA cleavage and polyadenylation specificity factor complex,gaura-IIFB,13,0.0004286892003297609
nuclear RNA-directed RNA polymerase complex,gaura-IIFB,13,0.0004286892003297609
nuclear microtubule,gaura-IIFB,13,0.0004286892003297609
oligosaccharyltransferase complex,gaura-IIFB,13,0.0004286892003297609
"preribosome, small subunit precursor",gaura-IIFB,13,0.0004286892003297609
"proteasome regulatory particle, lid subcomplex",gaura-IIFB,13,0.0004286892003297609
"proton-transporting ATP synthase complex, catalytic core F(1)",gaura-IIFB,13,0.0004286892003297609
small nucleolar ribonucleoprotein complex,gaura-IIFB,13,0.0004286892003297609
trans-Golgi network transport vesicle,gaura-IIFB,13,0.0004286892003297609
Smc5-Smc6 complex,gaura-IIFB,12,0.0003957131079967024
U4 snRNP,gaura-IIFB,12,0.0003957131079967024
box C/D snoRNP complex,gaura-IIFB,12,0.0003957131079967024
ciliary basal body,gaura-IIFB,12,0.0003957131079967024
cullin-RING ubiquitin ligase complex,gaura-IIFB,12,0.0003957131079967024
dendritic spine,gaura-IIFB,12,0.0003957131079967024
eukaryotic translation initiation factor 4F complex,gaura-IIFB,12,0.0003957131079967024
extrinsic component of endoplasmic reticulum membrane,gaura-IIFB,12,0.0003957131079967024
heterochromatin,gaura-IIFB,12,0.0003957131079967024
integral component of peroxisomal membrane,gaura-IIFB,12,0.0003957131079967024
mitochondrial envelope,gaura-IIFB,12,0.0003957131079967024
oxoglutarate dehydrogenase complex,gaura-IIFB,12,0.0003957131079967024
peroxisomal importomer complex,gaura-IIFB,12,0.0003957131079967024
photosystem I reaction center,gaura-IIFB,12,0.0003957131079967024
protein storage vacuole membrane,gaura-IIFB,12,0.0003957131079967024
DNA polymerase III complex,gaura-IIFB,11,0.00036273701566364385
DNA replication factor A complex,gaura-IIFB,11,0.00036273701566364385
ESCRT I complex,gaura-IIFB,11,0.00036273701566364385
Golgi-associated vesicle,gaura-IIFB,11,0.00036273701566364385
SMN-Sm protein complex,gaura-IIFB,11,0.00036273701566364385
alpha DNA polymerase:primase complex,gaura-IIFB,11,0.00036273701566364385
apical plasma membrane,gaura-IIFB,11,0.00036273701566364385
chaperone complex,gaura-IIFB,11,0.00036273701566364385
condensin complex,gaura-IIFB,11,0.00036273701566364385
cytoplasmic microtubule,gaura-IIFB,11,0.00036273701566364385
cytosolic proteasome complex,gaura-IIFB,11,0.00036273701566364385
glutamatergic synapse,gaura-IIFB,11,0.00036273701566364385
integral component of lumenal side of endoplasmic reticulum membrane,gaura-IIFB,11,0.00036273701566364385
mitochondrial respiratory chain complex III,gaura-IIFB,11,0.00036273701566364385
multivesicular body membrane,gaura-IIFB,11,0.00036273701566364385
postsynaptic membrane,gaura-IIFB,11,0.00036273701566364385
"proteasome core complex, beta-subunit complex",gaura-IIFB,11,0.00036273701566364385
root hair tip,gaura-IIFB,11,0.00036273701566364385
spliceosomal tri-snRNP complex,gaura-IIFB,11,0.00036273701566364385
trans-Golgi network membrane,gaura-IIFB,11,0.00036273701566364385
vacuolar proton-transporting V-type ATPase complex,gaura-IIFB,11,0.00036273701566364385
Cdc73/Paf1 complex,gaura-IIFB,10,0.00032976092333058534
GARP complex,gaura-IIFB,10,0.00032976092333058534
PcG protein complex,gaura-IIFB,10,0.00032976092333058534
TAT protein transport complex,gaura-IIFB,10,0.00032976092333058534
TORC1 complex,gaura-IIFB,10,0.00032976092333058534
TRAPP complex,gaura-IIFB,10,0.00032976092333058534
U2AF complex,gaura-IIFB,10,0.00032976092333058534
VCB complex,gaura-IIFB,10,0.00032976092333058534
Ycf2/FtsHi complex,gaura-IIFB,10,0.00032976092333058534
actin filament,gaura-IIFB,10,0.00032976092333058534
chloroplast stromal thylakoid,gaura-IIFB,10,0.00032976092333058534
chromoplast,gaura-IIFB,10,0.00032976092333058534
condensed nuclear chromosome kinetochore,gaura-IIFB,10,0.00032976092333058534
core mediator complex,gaura-IIFB,10,0.00032976092333058534
dendrite,gaura-IIFB,10,0.00032976092333058534
endocytic vesicle,gaura-IIFB,10,0.00032976092333058534
endoplasmic reticulum chaperone complex,gaura-IIFB,10,0.00032976092333058534
eukaryotic translation initiation factor 2 complex,gaura-IIFB,10,0.00032976092333058534
external side of plasma membrane,gaura-IIFB,10,0.00032976092333058534
glutamyl-tRNA(Gln) amidotransferase complex,gaura-IIFB,10,0.00032976092333058534
mitochondrial oxoglutarate dehydrogenase complex,gaura-IIFB,10,0.00032976092333058534
"phosphatidylinositol 3-kinase complex, class III, type I",gaura-IIFB,10,0.00032976092333058534
"phosphatidylinositol 3-kinase complex, class III, type II",gaura-IIFB,10,0.00032976092333058534
prefoldin complex,gaura-IIFB,10,0.00032976092333058534
protein kinase CK2 complex,gaura-IIFB,10,0.00032976092333058534
root hair,gaura-IIFB,10,0.00032976092333058534
site of polarized growth,gaura-IIFB,10,0.00032976092333058534
transport vesicle membrane,gaura-IIFB,10,0.00032976092333058534
